game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
shadowofthebeast2,Shadow of the Beast II,,Shadow of the Beast II: Jūshin no Jubaku,Shadow of the Beast II シャドー・オブ・ザ・ビーストII　獣神の呪縛,1994-07-29
shadowruncd,Shadowrun,,Shadowrun,Shadowrun シャドウラン,1996-02-23
shinmegamitensei,Shin Megami Tensei,真・女神転生,Shin Megami Tensei,真・女神転生,1994-02-25
shiningforcecd,Shining Force CD,,Shining Force CD,,1994-07-22
silpheed,Silpheed,,Silpheed,,1993-07-30
simearth,SimEarth,,SimEarth,SimEarth シムアース,1993-03-12
teddyboyblues,Sing!! SEGA Game Music Presented by B. B. Queens,,Teddy Boy Blues,,1992-07-26
solfeace,Sol-Feace,,Sol-Feace,,1991-12-12
sonicthehedgehogcd,Sonic The Hedgehog CD,,Sonic The Hedgehog CD,,1993-09-23
soulstar,SoulStar,,SoulStar,SoulStar ソウルスター,1994-12-22
rebelassault,Star Wars: Rebel Assault,,Star Wars: Rebel Assault,,1994-09-22
starblade,StarBlade,,StarBlade,StarBlade スターブレード,1994-10-28
surgicalstrike,Surgical Strike,,Surgical Strike,Surgical Strike サージカルストライク,1995-12-22
switch,Switch,,Switch,Switch スイッチ,1993-04-23
tenbu,Tenbu Mega CD Special,天舞 メガCDスペシャル,Tenbu Mega CD Special,天舞 メガCDスペシャル,1992-12-25
tenkafubueiyuutachinohoukou,Tenkafubu: Eiyūtachi no Hōkō,天下布武　英雄たちの咆哮,Tenkafubu: Eiyūtachi no Hōkō,天下布武　英雄たちの咆哮,1991-12-28
thethirdworldwar,The IIIrd World War,ザ・サード ワールド ウォー The IIIrd World War,The IIIrd World War,ザ・サード ワールド ウォー The IIIrd World War,1993-11-26
theninjawarriors,The Ninja Warriors,,The Ninja Warriors,The Ninja Warriors ニンジャウォリアーズ,1993-03-12
thesecretofmonkeyisland,The Secret of Monkey Island,,The Secret of Monkey Island: Yūrei Kaizoku Daisōdō!,The Secret of Monkey Island モンキー・アイランド　ユーレイ海賊大騒動!,1993-09-23
thunderstorm,Thunder Storm FX,,Thunder Storm FX,,1992-08-28
thunderhawk,Thunderhawk,,Thunderhawk,Thunderhawk サンダーホーク,1993-09-17
timegal,Time Gal,Time Gal タイム ギャル,Time Gal,Time Gal タイム ギャル,1992-11-13
tomcatalley,Tomcat Alley,,Tomcat Alley,Tomcat Alley トムキャット アレイ,1994-12-22
uruseiyatsuradearmyfriends,Urusei Yatsura: Dear My Friends,うる星やつら　ディア マイ フレンズ,Urusei Yatsura: Dear My Friends,うる星やつら　ディア マイ フレンズ,1994-04-15
vay,Vay,,Vay: Ryūsei no Yoroi,Vay ヴァイ　流星の鎧,1993-10-22
wakuseiwoodstockfunkyhorrorband,Wakusei Woodstock: Funky Horror Band,惑星ウッドストック　ファンキーホラーバンド,Wakusei Woodstock: Funky Horror Band,F.H.B Funky Horror Band 惑星ウッドストック　ファンキー・ホラー・バンド,1991-12-20
warausalesman,Warau Salesman,笑ゥせぇるすまん,Warau Salesman,笑ゥせぇるすまん,1993-09-17
wingcommander,Wing Commander,,Wing Commander,Wing Commander ウイングコマンダー,1994-03-25
winningpost,Winning Post,,Winning Post,Winning Post ウイニングポスト,1993-09-17
wolfchild,Wolfchild,,Wolfchild,,1993-03-19
wonderdog,Wonder Dog,,Wonder Dog,,1992-09-25
wwfrageinthecagecd,WWF: Rage in the Cage,,WWF Mania Tour: WWF: Rage in the Cage,WWF マニア・ツアー WWF: Rage in the Cage,1994-06-24
yumemiyakatanomonogatari,Yumemi Yakata no Monogatari,夢見館の物語,Yumemi Yakata no Monogatari,夢見館の物語,1993-12-10
yumimimix,Yumimi Mix,ゆみみ みっくす,Yumimi Mix,ゆみみ みっくす,1993-01-29
3ninjaskickbackhook,3 Ninjas Kick Back,,3 Ninjas Kick Back / Hook,,1994
ax101,A/X-101,,A/X-101,,1994
afterburner3,After Burner III,,After Burner III,,1993-05
thunderhawk,AH-3: Thunderstrike,,AH-3: Thunderstrike,,1993-11
bariarm,Bari-Arm,,Android Assault: The Revenge of Bari-Arm,,1994-10
batmanreturns,Batman Returns,,Batman Returns,,1993-05-19
batmanreturns,Batman Returns,,Batman Returns,,
battlecorps,Battlecorps,,Battlecorps,,1994-08
bcracers,BC Racers,,BC Racers,,1995-02
billwalshcollegefootball,Bill Walsh College Football,,Bill Walsh College Football,,1993-12
blackholeassault,Black Hole Assault,,Blackhole Assault,,1992-11
blackholeassault,Black Hole Assault,,Blackhole Assault,,
bouncers,Bouncers,,Bouncers,,1994-12
bramstokersdraculacd,Bram Stoker's Dracula,,Bram Stoker's Dracula,,1993-11
bramstokersdraculacd,Bram Stoker's Dracula,,Bram Stoker's Dracula,,1993-11
bramstokersdraculacd,Bram Stoker's Dracula,,Bram Stoker's Dracula,,1993-11
bramstokersdraculamaryshelleysfrankenstein,Bram Stoker's Dracula,,Mary Shelley's Frankenstein / Bram Stoker's Dracula,,1994
brutalpawsoffury,Brutal: Paws of Fury,,Brutal: Paws of Fury,,1994-11
cadillacsanddinosaursthesecondcataclysm,Cadillacs and Dinosaurs: The Second Cataclysm,,Cadillacs and Dinosaurs: The Second Cataclysm,,1994-12
sensiblesoccerec,Championship Soccer '94,,Championship Soccer '94,,1994-09
chuckrock,Chuck Rock,,Chuck Rock,,1992-12
chuckrock2soc,Chuck II: Son of Chuck,,Chuck Rock II: Son of Chuck,,1993
cliffhanger,Cliffhanger,,Cliffhanger,,1993-11
thunderstorm,Cobra Command,,Cobra Command,,1992-11
comptonsinterativeencyclopedia,Compton's Interactive Encyclopedia,,Compton's Interactive Encyclopedia: Edition 1995,,1994
comptonsinterativeencyclopedia,Compton's Interactive Encyclopedia,,Compton's Interactive Encyclopedia,,1994
comptonsinterativeencyclopedia,Compton's Interactive Encyclopedia,,Compton's Interactive Encyclopedia,,
comptonsinterativeencyclopedia,Compton's Interactive Encyclopedia,,Compton's Interactive Encyclopedia,,
corpsekiller,Corpse Killer,,Corpse Killer,,1994-11
corpsekiller,Corpse Killer,,Corpse Killer,,1995
crimepatrol,Crime Patrol,,Crime Patrol,,1994-10
darkwizardyynm,Dark Wizard,,Dark Wizard,,1994-03
demolitionman,Demolition Man,,Demolition Man,,1995-11-15
doubleswitch,Double Switch,,Double Switch,,1993-12
draculaunleashed,Dracula Unleashed,,Dracula Unleashed,,1993
draculaunleashed,Dracula Unleashed,,Dracula Unleashed,,1993
dragonslair,Dragon's Lair,,Dragon's Lair,,1993-12
dune,Dune,,Dune,,1993-12
dungeonexplorercd,Dungeon Explorer,,Dungeon Explorer,,1995-04
dungeonmaster2skullkeep,Dungeon Master II,,Dungeon Master II: Skullkeep,,1994-09
earthwormjim,Earthworm Jim: Special Edition,,Earthworm Jim: Special Edition,,1995-04
eccothedolphin,Ecco,,Ecco the Dolphin,,1993-07
segaclassicsarcadecollectioneccothedolphin,Ecco,,SEGA Classics Arcade Collection / Ecco the Dolphin,,1993
eccothetidesoftime,Ecco: The Tides of Time,,Ecco: The Tides of Time,,1994-11
eccothetidesoftime,Ecco: The Tides of Time,,Ecco: The Tides of Time,,1994-11
espnbaseballtonight,ESPN Baseball Tonight,,ESPN Baseball Tonight,,1994-10
espnnationalhockeynight,ESPN National Hockey Night,,ESPN National Hockey Night,,1994-11
espnnbahangtime95,ESPN NBA Hangtime '95 / ESPN 2on2 Basketball World Tour,,ESPN NBA Hangtime '95,,1994
espnsundaynightnfl,ESPN Sunday Night NFL,,ESPN Sunday Night NFL,,1994-11
eternalchampions,Eternal Champions: Challenge from the Dark Side,Eternal Champions 武士道 悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,,1995-06-06
eternalchampions,Eternal Champions: Challenge from the Dark Side,Eternal Champions 武士道 悪 Challenge from the Dark Side,Eternal Champions: Challenge from the Dark Side,,
eyeofthebeholder,Eye of the Beholder,,Eye of the Beholder,,1994-08
fahrenheit,Fahrenheit,,Fahrenheit,,1995-04
fahrenheit,Fahrenheit,,Fahrenheit,,1995-04
garoudensetsuspecial,Fatal Fury Special,,Fatal Fury Special,,1995-06
fifa94,FIFA International Soccer,,FIFA International Soccer,,1994
finalfight,Final Fight CD,,Final Fight CD,,1993-06
finalfight,Final Fight CD,,Final Fight CD,,1993-06
finalfight,Final Fight CD,,Final Fight CD,,1993-06
flashback,Flashback,,Flashback: The Quest for Identity,,1994-11
heavenlysymphony,Formula One World Championship: Beyond the Limit,,Formula One World Championship: Beyond the Limit,,1994-08
groundzerotexas,Ground Zero Texas,,Ground Zero Texas,,1993-11
groundzerotexas,Ground Zero Texas,,Ground Zero Texas,,1993-11
groundzerotexas,Ground Zero Texas,,Ground Zero Texas,,1993-11
heartofthealien,Heart of the Alien: Out of This World Part II,,Heart of the Alien: Out of This World Parts I and II,,1994-07
heimdall,Heimdall,,Heimdall,,1994-04
hook,Hook,,Hook,,1993-08
3ninjaskickbackhook,Hook,,3 Ninjas Kick Back / Hook Bundle,,
ironhelix,Iron Helix,,Iron Helix,,1994-09
jaguarxj220,Jaguar XJ220,,Jaguar XJ220,,1993-04
