game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
burningrangers,Burning Rangers,,Burning Rangers,Burning Rangers バーニングレンジャー,1998-02-26
cancanbunnyextra,Can Can Bunny Extra,きゃんきゃん★バニー エクストラ Can Can Bunny,Can Can Bunny Extra,きゃんきゃん★バニー エクストラ Can Can Bunny,1997-10-02
cancanbunnypremiere,Can Can Bunny Premiere,Can Can Bunny きゃんきゃん★バニー プルミエール,Can Can Bunny Premiere,きゃんきゃんバニー プルミエール Can Can Bunny,1996-04-05
cancanbunnypremiere,Can Can Bunny Premiere,Can Can Bunny きゃんきゃん★バニー プルミエール,Can Can Bunny Premiere (Thank You Soft),きゃんきゃんバニー プルミエール Can Can Bunny (サンキューソフト),1996-12-13
cancanbunnypremiere2,Can Can Bunny Premiere 2,Can Can Bunny きゃんきゃん★バニー プルミエール2,Can Can Bunny Premiere 2,Can Can Bunny きゃんきゃん★バニー プルミエール2,1996-12-20
cancanbunnypremiere2,Can Can Bunny Premiere 2,Can Can Bunny きゃんきゃん★バニー プルミエール2,Can Can Bunny Premiere 2 (Can Bani Himekuri Calendar),Can Can Bunny きゃんきゃん★バニー プルミエール2 (きゃんバニ　日めくりカレンダー),1996-12-20
cancanbunnypremiere2,Can Can Bunny Premiere 2,Can Can Bunny きゃんきゃん★バニー プルミエール2,Can Can Bunny Premiere 2 (Thank You Soft),Can Can Bunny きゃんきゃん★バニー プルミエール2 (サンキューソフト),1997-08-01
cancanbunnypremiere2,Can Can Bunny Premiere 2,Can Can Bunny きゃんきゃん★バニー プルミエール2,Can Can Bunny Premiere 2 (Can Bani Himekuri Calendar) (Hibaihin),Can Can Bunny きゃんきゃん★バニー プルミエール2 (きゃんバニ　日めくりカレンダー) (非売品),1996-12-20
capcomgeneration1,CAPCOM Generation: Dai-1-shū Gekitsuiō no Jidai,CAPCOM Generation 第1集 撃墜王の時代,CAPCOM Generation: Dai-1-shū Gekitsuiō no Jidai,CAPCOM Generation カプコン ジェネレーション 第1集 撃墜王の時代,1998-08-27
capcomgeneration2,CAPCOM Generation: Dai-2-shū Makai to Kishi,CAPCOM Generation 第2集 魔界と騎士,CAPCOM Generation: Dai-2-shū Makai to Kishi,CAPCOM Generation カプコン ジェネレーション 第2集 魔界と騎士,1998-09-23
